tidak_baku,bentuk_baku
dari pada,daripada
darus,daras
dastar,destar
dat,zat
daulah,daulat
debet,debit
debetor,debitor
debitor,debitur
decah,decap
decus,desus
defenisi,definisi
defiasi,deviasi
dehem,deham
dekrit,dekret
delemak,delamak
deluang,jeluang
delujur,jelujur
delut,jelut
demit,dedemit
dempuk,dempok
denawa,danawa
dendang,dandang
dengkut,dengkur
densanak,dansanak
deodorant,deodoran
deraka,durhaka
deras,daras
derek,derik
deret,dandang
derham,dirham
deria,indra
deriji,deruji
deruji,jeruji
derun,derum
derung,derum
desinfeksi,disinfeksi
desinfektan,disinfektan
desorientasi,disorientasi
destilasi,distilasi
deterjen,detergen
detia,daitia
detil,detail
deviden,dividen
dhalim,zalim
dharma,darma
diagnosa,diagnosis
diagnose,diagnosis
diah,diat
dietik,dietetik
digen,degen
dikir,zikir
dioda,diode
dipati,adipati
disain,desain
disenfektan,disinfektan
diskotik,diskotek
diskripsi,deskripsi
diskrit,diskret
ditel,detail
ditergen,detergen
diterjen,detergen
diwala,dewala
dogeng,dogel
dolat,daulat
dolim,zalim
dolpin,dolfin
domein,domain
donatir,donatur
donator,donatur
dos,dus
dosin,lusin
doyo,dojo
dramatisir,dramatisasi
drem,drum
dria,indra
duhur,zuhur
duka cita,dukacita
dulu,dahulu
dunsanak,dansanak
duren,durian
duriat,zuriah
durna,durno
duwegan,degan
dzalim,zalim
dzat,zat
dzikir,zikir
dzuhur,zuhur
edap,dap
efedrin,efedrina
efektifitas,efektivitas
egalitarisme,egalitarianisme
eklektis,eklektik
ekopraksia,ekofraksia
eksebisi,ekshibisi
eksibisi,ekshibisi
eksim,eksem
eksklusifitas,eksklusivitas
ekslusifitas,eksklusivitas
eksoftalmia,eksoftalmos
eksoftalmus,eksoftalmos
ekspeditur,ekspeditor
eksploitir,eksploitasi
eksport,ekspor
eksportir,pengekspor
ekstrim,ekstrem
ektraversi,ekstraversi
ekuiti,ekuitas
ekwivalen,ekuivalen
ela,elo
elat,helat
elektroda,elektrode
eliminir,eliminasi
elip,elips
elit,elite
eluk,luk
elung,lung
emak,mak
embang,ambang
embek,ebek
emis,kemis
empelas,ampelas
emrat,embrat
endam,andam
endoderm,endoderma
endosemen,endorsemen
ensiklopedi,ensiklopedia
ente,anta
episod,episode
epistola,epistel
ering,hering
erotik,erotis
esay,esai
esen,esens
essay,esai
essen,esens
eteris,asiri
ethanol,etanol
etikat,iktikad
expor,ekspor
faham,paham
faidah,faedah
faksimil,faksimile
faksimili,faksimile
faksin,vaksin
faksinasi,vaksinasi
fakum,vakum
falid,valid
familia,famili
familiar,familier
famplet,pamflet
faqih,fakih
faqir,fakir
faraj,farji
fatsoen,fatsun
faximile,faksimile
feminim,feminin
fenilalanin,fenilalanina
ferri,feri
fery,feri
fidyah,fidiah
fikir,pikir
filem,film
filosof,filsuf
fitokemikal,fitokimia
fluor,fosfor
fobi,fobia
fon,fohn
fondamen,fundamen
fonta,fon
fora,forum
form,formulir
formatir,formatur
formil,formal
foto kopi,fotokopi
fotosintesa,fotosintesis
fraksinasi,fraksionasi
frase,frasa
frekwensi,frekuensi
frustasi,frustrasi
fulan,polan
fuyonghai,puyunghai
gabihat,kabihat
gadah,kadah
gado,gaduh
galaktose,galaktosa
galeng,galang
gamma,gama
gana,ganar
ganden,gandin
gandi,gandin
gandola,gendola
gangsal,gasal
gangsang,gasang
gangsing,gasing
ganih,genis
gara,gahara
gasetir,gazeter
gasir,gangsir
gaswah,kaswah
gayuh,kayuh
gecer,gecar
gedabak,gedebuk
gedabir,gelambir
gedang,gadang
gedembai,kelambai
gelabah,gelebah
geladah,geledah
geladi,gladi
gelagak,gelegak
gelana,gulana
gelantang,kelantang
gelapur,gelepur
gelasar,gelangsar
gelasir,glasir
gelatak,geletak
gelatang,gelantang
gelembai,kelambai
gelempang,gelimpang
gelentar,geletar
gelepok,gelepot
geler,gilir
gelesek,geleser
geletek,gelitik
gelindung,gelendong
gelipang,gelimpang
gelis,geulis
geliting,gelitik
geliut,geliang
gelojak,gejolak
gelokak,gelopak
gelomang,gelimang
gelongsong,kelongsong
gelorat,darurat
gelosor,gelongsor
gelumang,gelimang
gelumat,gelemat
gemala,kemala
gemang,gamang
gembung,kembung
gementar,gemetar
gemercing,gemerencing
gemericik,gemercik
gemit,gamit
gempal,gumpal
gencer,gencar
gencir,gelincir
gendaga,kendaga
gendala,kendala
gendit,kendit
geneologi,genealogi
genih,genis
genteng,genting
gentik,getik
gep,gap
geprek,keprek
gerabak,gerabang
geracak,gerecak
geradah,geledah
geragot,gerogot
gerameh,gurami
gerami,gurami
gerangsang,berangsang
gerapyak,grapyak
gerdam,gerdum
gerebak,gerebek
gerebek,garebek
gerenek,gerenik
gerentam,gerentang
gerenyam,geranyam
gerenyut,gerenyot
gergajul,bergajul
gerih,gereh
geringsing,gerising
gerinyut,gerenyot
gerip,gerit
gerita,gurita
geroda,garuda
gerong,gerung
geronggong,geronggang
geronium,geranium
gerontang,gerantang
geropes,gerupis
gersak,kersak
gersik,kersik
gertap,gerlap
gertuk,kertuk
gerubuk,gerobok
gerugul,gerogol
gerumit,gerupis
gesau,desau
getir,getil
gewang,giwang
geyser,geiser
ghaib,gaib
ghoib,gaib
gibas,kibas
gigir,gigil
gimana,bagaimana
ginggang,genggang
gingsi,gengsi
gini,begini
girah,gairah
gisi,gizi
gitu,begitu
glamour,glamor
glikosid,glikosida
gliserin,gliserol
glisin,glisina
glodok,gelodok
glondong,gelondong
glondongan,gelondongan
glosari,glosarium
glukoma,glaukoma
glukosamin,glukosamina
goa,gua
gobah,gubah
gogo,gaga
golpi,golbi
gombrong,gombroh
goncang,guncang
gonio,goniometri
gono-gini,gana-gini
gonrong,gondrong
gonyak,gonjak
goroh,gorok
grafitasi,gravitasi
graha,gerha
grebek,gerebek
gregat,gereget
greget,gereget
gregetan,geregetan
greha,gerha
grendel,gerendel
guanin,guanina
gubang,gobang
gubar,gobar
gudam,godam
gulambai,kelambai
gurem,guram
hadam,khadam
hadang,adang
hakekat,hakikat
halofita,halofit
handal,andal
handam,andam
hangar,hanggar
hanyasanya,hanya
hapal,hafal
harafiah,harfiah
hasduk,halsduk
hauri,haur
heban,hebat
hektar,hektare
helah,helat
helmet,helm
hembus,embus
hendam,andam
hentak,entak
herbivora,herbivor
hermetik,hermetis
hibrid,hibrida
hidayat,hidayah
hidraulik,hidraulis
hidrolika,hidraulika
hikam,hikmah
hilap,khilaf
himbau,imbau
himbauan,imbauan
himpit,impit
hingar,ingar
hipnosa,hipnosis
hipnose,hipnosis
hipotesa,hipotesis
hipotik,hipotek
hirarki,hierarki
hisap,isap
hodah,haudah
hol,haul
holtikultura,hortikultura
horak,orak
hordeng,gorden
horisontal,horizontal
hortikultur,hortikultura
hubar,uber
hujah,hujat
hukah,hokah
hulur,ulur
humbalang,hembalang
hunjin,hujin
hunjuk,unjuk
hunkwe,hunkue
husnudzon,husnuzan
husuk,khusuk
hutang,utang
hymne,himne
ibah,hibah
ibuk,hibuk
idiil,ideal
idiologi,ideologi
idul fitri,idulfitri
idulkurban,iduladha
idzin,izin
ihlas,ikhlas
ihtiar,ikhtiar
ijabat,ijabah
ijasah,ijazah
ijin,izin
ijo,hijau
ijtima,ijtimak
ikan paus,paus
ikhwal,ihwal
iklas,ikhlas
ilir,hilir
ilmuan,ilmuwan
imang,timang
imateriil,imateriel
import,impor
inagurasi,inaugurasi
incer,incar
indak,tidak
indera,indra
inderaja,indraja
indie,indi
indria,indra
infantri,infanteri
influensa,influenza
inggeris,inggris
inkulturasi,enkulturasi
instalatir,instalatur
insya allah,insyaallah
insyaf,insaf
intelegensi,inteligensi
intelejensi,inteligensi
intelijensi,inteligensi
interen,intern
intermezo,intermeso
interpiu,interviu
interprestasi,interpretasi
interyeksi,interjeksi
intil,kintil
iodium,yodium
iqamat,ikamah
isha,isya
islamiyah,islamiah
isolir,isolasi
istaz,ustaz
istazah,ustazah
isteri,istri
istighfar,istigfar
istiqamah,istikamah
itam,hitam
itarad,iktirad
itaraf,iktiraf
itibar,iktibar
itidal,iktidal
itikad,iktikad
itikaf,iktikaf
jabel,jabal
jadual,jadwal
jagad,jagat
jahiliyah,jahiliah
jailangkung,jelangkung
jais,jaiz
jamaah,jemaah
jaman,zaman
jamhur,jumhur
jamiyah,jamiah
jamrud,zamrud
jangkih,jangki
jannah,janah
jantera,jentera
