tidak_baku,bentuk_baku
switer,sweter
syaban,syakban
syafkah,syafakat
syagar,sakar
syahada,syahda
syahadan,syahdan
syaikh,syekh
syaitan,setan
syajarat,sejarah
syakar,sakar
syakduf,sekedup
syamas,samas
syamsiat,syamsiah
syapaat,syafaat
syaraf,saraf
syarbat,serbat
syarekat,syarikat
syariah,syariat
syorga,surga
syubahat,syubhat
syufaat,syafaat
syurah,syarah
syurga,surga
taawud,taawuz
tabah,tebah
tabe,tabik
tabi,tabik
tabot,tabut
tafefobia,tafofobia
taftah,tafeta
tahadi,tadi
tahalil,tahlil
tahta,takhta
tai,tahi
taju,tajuk
takak,takik
takarir,takrir
takel,takal
taksis,takhsis
talai,lalai
talek,talk
talen,talenta
tambus,timbus
tampak,campak
tampan,talam
tampek,campak
tang,tank
tangker,tanker
tangkut,tangkup
tanjidur,tanjidor
tantang,tentang
taoke,tauke
tapa,tempa
tape,tapai
tapi,tetapi
tapuk,tepuk
tapung,tepung
taqwa,takwa
tar,tir
taras,teras
tarikat,tarekat
tarip,tarif
tariqat,tarekat
tarkasy,tarkas
tarkhim,tarhim
tarpentin,terpentin
tarra,tara
tarub,tarup
taruk,taruh
taruko,teroka
tasdid,tasydid
tasmak,tesmak
tatapan,tetampan
taubat,tobat
tauco,taoco
taufan,topan
tauge,taoge
tauladan,teladan
taulan,tolan
taup,taut
tauret,taurat
taurit,taurat
tawarikh,tarikh
tazir,takzir
tean,teyan
tebakang,tambakan
tebuan,tabuhan
tebus,tembus
tedarus,tadarus
tegor,tegur
tehnik,teknik
tehnologi,teknologi
teka,terka
tekat,tekad
tekebur,takabur
tekek,tokek
tekoan,teko
tekong,tikung
tektek,tetek
tekua,takwa
tekup,tekap
tela,ketela
telakan,telekan
telapa,telap
telayan,nelayan
telegrap,telegraf
telekup,tekup
telenan,talenan
telepa,telap
telephon,telepon
teletip,teletipe
telfon,telepon
telgram,telegram
telimpung,telempong
telingkuh,telingkah
telingkung,lingkung
telipuk,telepok
telisik,selisik
telor,telur
telpon,telepon
telukup,telungkup
temadun,tamadun
temaha,temaah
temahak,temaah
temasa,tamasya
temasya,tamasya
tematu,tembatu
tembekar,tembikar
tembel,timbil
tembem,tembam
tembiring,tembereng
tembola,tombola
tembusu,tembesu
temengalan,tengalan
temenggung,tumenggung
temilang,tembilang
tempalak,tempelak
tempang,timpang
tempek,tepek
temporok,porok
tempuras,temperas
temuni,tembuni
tendo,tendon
tener,tiner
teng,tank
tenggiring,tenggiri
tenggulung,senggulung
tengker,tengger
tengkik,tengkek
tengkok,tengkuk
tengkolak,tengkulak
tengkolok,tengkuluk
tengkurup,tengkurap
tengteng,tenteng
tenguh,lenguh
tenteng,tengteng
tentera,tentara
tentram,tenteram
teoritis,teoretis
tepekong,toapekong
tepekur,tafakur
tepet,tepek
tepok,tepuk
ter,tir
terajang,terjang
teralis,terali
teram,taram
terambu,tambo
teras,tras
terasul,tarasul
teraweh,tarawih
terbersit,tebersit
tercermin,tecermin
tercerna,tecerna
tereliminir,tereliminasi
terem,trem
teret,deret
terhal,hal
teriko,triko
terjali,tajali
terlanjur,telanjur
terlantar,telantar
terlentang,telentang
terobong,cerobong
terompet,trompet
terongko,terungku
terorganisir,terorganisasi
terpedaya,teperdaya
terpedo,torpedo
terpercaya,tepercaya
terperdaya,teperdaya
teruna,taruna
terup,truf
testes,testis
tetampah,tampah
tetapan,tetampan
tetawak,tawak-tawak
teterapan,terapan
tetibau,tetibar
tetuhu,tuhu
tezi,teji
thariqat,tarekat
thoriqot,tarekat
tihang,tiang
tijak,pijak
tiku,tikung
tilawat,tilawah
tile,tule
tilep,tilap
tilgrap,telegraf
tim,tin
tindawan,cendawan
tindis,tindih
tinggir,tengger
tingkarah,tengkarah
tingker,tingkar
tipak,tepak
tipes,tifus
tips,tip
tipus,tifus
tir,ter
tiris,digenggam
titi mangsa,titimangsa
titih,petitih
titir,ketitir
toblos,coblos
tofan,topan
toge,taoge
tokak,tukak
toke,tauke
tokek,takik
tolerir,toleransi
tombong,tumbung
tombru,tombro
tompang,tumpang
ton,tona
tonggong,tonggok
tongkong,tongkol
tongsil,tonsil
topah,tufah
toples,stoples
topong,ketopong
tores,toreh
torne,turne
towaf,tawaf
toyah,toya
toyoh,toya
tradisionil,tradisional
tragik,tragis
trakoma,trakom
tram,trem
trampil,terampil
transito,transit
trap,terap
trend,tren
trenggiling,tenggiling
trenyuh,terenyuh
tribulan,triwulan
tribun,tribune
trilyun,triliun
trindil,terindil
tropi,trofi
tsanawiah,sanawiah
tuat,ketuat
tudak,todak
tugas,tukas
tuhfat,tuhfah
tuhur,tohor
tuku,tengku
tulung,tolong
tuman,toman
tumbak,tombak
tumbalang,tembelang
tumpes,tumpas
tumplek,tumplak
tunggit,tunggik
tungkat,tongkat
tungkik,tukik
tungkul,tongkol
tungu,tungau
tunjul,tonjol
tupang,topang
tursi,terusi
uan,wan
uap,kuap
ubal-ubal,ubel-ubel
ubat,obat
ubaya,hubaya-hubaya
ucus,usus
udema,edema
udo,uda
udu,wudu
uduh,odoh
uduk,wudu
udur,uzur
uja,oja
ujana,yojana
ujud,wujud
ulak,ulek
ulat,ulet
ulayah,wilayah
ulayat,wilayah
uler,ular
uma,huma
umak,emak
umbai,umbuk
umbara,kembara
umbi,umbuk
umbun-umbun,ubun-ubun
umbur,umbul
umbur-umbur,umbul
umpat,umpet
umpun,rumpun
umrat,umrah
umroh,umrah
umum,umun
unak,onak
uncue,honcoe
uncui,honcoe
ungap-ungap,mengap-mengap
unggit,ungkit
ungguk,onggok
ungkang-ungkang,ongkang-ongkang
ungkang-ungkit,unggang-anggit
ungkir,mungkir
universitet,universitas
unjam,hunjam
unjung,kunjung
upas,opas
upuk,ufuk
urang,orang
urat,aurat
urin,urine
urit,urip
urug,uruk
usis,ucis
ustad,ustaz
ustadz,ustaz
ustadzah,ustazah
utan,hutan
uwak,uak
uyung,huyung
valin,valina
varitas,varietas
vasad,fasad
vasilitas,fasilitas
vermak,permak
vertikultur,vertikultura
verzet,verset
vestibul,vestibula
vestibulum,vestibula
vidio,video
vignet,vinyet
vocer,voucer
vrah,prahoto
vulkanik,vulkanis
vulkanisir,vulkanisasi
vulpen,pulpen
waadah,waadat
wabakdahu,wabakdu
wadar,badar
wadas,cadas
wader,badar
wahadah,wahdah
wahadaniah,wahdaniah
wahadat,wahdah
wahadiah,wahdiah
wahi,wahyu
wahon,wagon
waiduri,baiduri
waja,baja
wajit,wajik
wakwak,wawa
walat,kualat
wali,rajawali
walimat,walimah
walmana,walimana
wang,uang
waqaf,wakaf
war,uar
wara laba,waralaba
warakat,warkat
wardi,rodi
warik,warak
warkah,warkat
warwar,uar-uar
was,waswas
wasilat,wasilah
wasir,bawasir
waslah,wasal
wassalam,wasalam
waton,watan
wawankata,wawancara
wawansabda,wawancara
wazir,bawasir
we,weh
wedam,weda
weker,beker
welut,belut
werak,werek
werangka,warangka
werda,wreda
werdatama,wredatama
wih,weh
wilahar,welahar
wilayat,wilayah
wilmana,walimana
winter,wenter
wira usaha,wirausaha
wirama,irama
wirasat,firasat
wiron,wiru
wirwir,uir-uir
wodka,vodka
wudhu,wudu
wuduk,wudu
wungu,ungu
wurung,urung
wutuh,utuh
xi,ksi
yargon,jargon
yehova,yahwe
yehuwa,yahwe
yeyunum,jejunum
yu,hiu
yudha,yuda
yudo,judo
yudoka,judoka
yunior,junior
yunta,junta
yuri,juri
yuyitsu,jujitsu
yuyutsu,yuyitsu
zabad,jebat
zahir,lahir
zam-zam,zamzam
zarafah,jerapah
zariah,zuriah
zariat,zuriah
zenggi,zanggi
zhuhur,zuhur
ziarat,ziarah
zib,jib
zigote,zigot
zinah,zina
zinak,jinak
zirafah,jerapah
zohor,zuhur
zohrat,zohrah
zolim,zalim
zone,zona
zuadah,juadah
zuhara,zohrah
zurafah,jerapah
zuriat,zuriah
