frasa
air di tempayan ditumpahkan
air diam
air didih
air doa
air ekstraseluler
air emas
air es
air fosil
air freatik
air garam
air gedang
air got
air gravitasi
air hablur
air hangat direnanginya
air heksagonal
air hidroskopik
air hidung
air higroskopis
air hitam
air imbibisi
air infusan
air intraselular
air irigasi
air jenuh
air jeruk
air juvenil
air kandang
air kapiler
air kapur
air karbonat
air kelabu
air keling
air kemih
air kencing
air keras
air ketuban
air ki
air kisi
air koloh-koloh
air konduktivitas
air kristalisasi
air kubangan
air kujumas
air kumbahan
air kumur
air label ganda
air lalu berkubak tohor
air landa
air lata
air laut
air laut asin sendiri
air laut saniter
air leding
air limbah
air limbah perkotaan
air lingkar
air liur
air ludah
air lunak
air magma
air malihan
air mampu curah
air mancur
air mandi
air mani
air manis
air maram
air masin
air mata
air mata buaya
air mata darah
air mata duyung
air matang
air mati
air maulhayat
air mawar
air merta jiwa
air metabolik
air metabolisme
air minded
air mineral
air minum
air muka
air mustakmal
air najis
air normal
air oligotrofik
air pasang
air payau
air pemandian alam
air pengisi
air penyeimbang beban
air perak
air perbani
air permen
air permukaan
air pertumbuhan
air primer
air purwa
air pusar
air putih
air raksa
air rasa
air ruang antara
air ruban
air sabun
air sadah
air saput
air sebak
air segar
air selera
air sembahyang
air sembilan
air senak
air seni
air senyawa
air serani
air setaman
air sisipan
air soda
air suci
air suling
air suling dua kali
air sumur
air suri
air surut
air susu
air susu dibalas dengan air tuba
air susu jolong
air susu pengganti
air takbermineral
air taktersedia
air talkin
air tambang asam
air tanah
air tanah anteseden
air tanah bebas
air tanah lapisan atas
air tanah limpasan hujan
air tanah tetap
air tanah tubir
air tanih
air tawar
air teh
air tenang
air tenang (biasa) menghanyutkan
air tenang menghanyutkan
air tepung tawar
air terbit
air terdemineralisasi
air terikat
air terjun
air terminumkan
air tersedia
air tersekap
air tersenyawa
air timah
air timpas
air tolak bala
air tolak bara
air tuban
air utama jiwa
air wangi
air wudu
airnya sudah keruh
ais reru
ajal samar
ajan kelicung
ajang orang
ajang seleksi
aji bambang
aji mumpung
aji pangeran
aji puteri
aji raden
aji ratu
aji sayid
aji sesirep
aji sultan
aji syarifah
ajining raga ana ing busana
ajun aktuaris
ajun brigadir polisi
ajun brigadir polisi dua
ajun brigadir polisi satu
ajun inspektur polisi dua
ajun inspektur polisi satu
ajun komisaris besar polisi
ajun komisaris polisi
ajun peneliti madya
ajun peneliti muda
akad kredit
akad nikah
akad salam
akad wadiah
akad wakalah
akal akar berpulas tak patah
akal buaya
akal budi
akal bulus
akal busuk
akal dua jengkal
akal geladak
akal kancil
akal keling
akal laba-laba
akal melintas
akal pikiran
akal sehat
akal sejengkal
akal tak sekali tiba
akal tiga jengkal
akal ubi
akan jatuh jua
akan panas jua
akan tajam juga
akan tetapi
akar adventisius
akar angelika
akar angin
akar apung
akar aralia kinensis
akar bahar
akar banar
akar batang
akar batu
akar belit
akar beluru
akar bilangan
akar binasa
akar bulu
akar cabang
akar dagun
akar daldaru
akar embun
akar fatima
akar gamat
akar gambir-gambir
akar ganda
akar gantung
akar gerip putih
akar gerit-gerit putih
akar gigi
akar ipoh putih
akar isap
akar jangkar
akar kait-kait
akar kambing-kambing
akar kata
akar kelapa
akar kelempinang
akar kelimpar
akar kemenyan
akar kerayung
akar khayal
akar kijil
akar kompleks
akar kuadrat
akar kuayah
akar kubik
akar kucing
akar kuku
akar kuning
akar larak
akar layak
akar lekat
akar lembaga
akar liar
akar lingkar
akar lupang
akar lupuk
akar lutut
akar manis
akar masalah
akar mati
akar melata
akar melibat
akar melilit
akar mempelas
akar mempelas hari betina
akar mimang
akar napas
akar pahit
akar pakis
akar pangkat dua
akar pangkat tiga
akar papan
akar parsi
akar patuk manuk
akar persamaan
akar primer
akar pun berguna (jadi)
akar punggung
akar puntianak
akar pusat
akar putat
akar rambut
akar rempelas
akar rempenang
akar resam
akar rumput
akar samping
akar sarikan
akar saut
akar sederhana
akar semu
akar senduduk
akar sentagi
akar sepulih
akar serabut
akar serapat hitam
akar serau
akar serumat
akar seruntun
akar sulung
akar susu
akar tempelas
akar teriba
akar tikus
akar tinggal
akar tombak
akar tuba
akar tunggang
akar tunjang
akar udara
akar umbi
akar wangi
akar yang-yang
akas kaya
akhir bulan
akhir kata
akhir klimaks
akhir larva
akhir minggu
akhir pekan
akhir tahun
akhir zaman
akhirul kalam
akibat hukum
akik disangka batu
akik garnet
akil balig
aklimatisasi ketinggian
akper kesdam
akrobat hukum
akrobat politik
akrobatik udara
akrodermatitis enteropatika
aksara arab
aksara arab melayu
aksara aramea
aksara bali
aksara brahmi
aksara budo
aksara bugis
aksara dewanagari
aksara fonemis
aksara fonetis
aksara grantha
aksara han
aksara hieroglif
aksara hiragana
aksara jawa
aksara jawi
aksara karo
aksara katakana
aksara kawi
aksara lampung
aksara latin
aksara lontarak
aksara mandailing
aksara morfemis
aksara pakpak
aksara paku
aksara pallawa
aksara pegon
aksara rejang
aksara rencong
aksara silabis
aksara simalungun
aksara sunda
aksara toba
aksara yunani
akselerometer perangkum
aksen cahaya
aksep bank
akseptasi bersyarat
akseptasi dagang
akseptor dini
akseptor lestari
akses arsip
akses informasi
akses jauh
akses ke berkas
akses ke data
akses lokal
akses terbatas
aksi dramatik
aksi eksentrik
aksi jarah
aksi kekerasan
aksi laga
aksi nada
aksi otot eksentrik
aksi otot sepusat
aksi penyerangan
aksi polisional
aksi sepihak
aksi sosial
aksi tanjak
aksi tunda
aksi unjuk rasa
akta autentik
akta catatan sipil
akta hibah
akta jual beli
akta kelahiran
akta kenal lahir
akta mengajar
akta mengajar dua
akta mengajar empat
akta mengajar lima
akta mengajar satu
akta mengajar tiga
akta nikah
akta notaris
akta pendirian
akta persetujuan
akta proteksi data
akting dalam
akting komikal
akting lintas
akting meniru
akting natural
aktinometer kimia
aktiva lancar
aktiva modal
aktiva produktif bermasalah
aktiva takberwujud
aktiva tetap
aktivitas aerob
aktivitas air
aktivitas bisnis
aktivitas enzim
aktivitas fisik
aktivitas ion
aktivitas kebudayaan
aktivitas keseharian
aktivitas molekul
aktivitas seksual
aktivitas takberaturan
aktor anak-anak
aktor intelektual
aktor karakter
aktor laga
aktor legenda
aktor manajer
aktor pembantu
aktor pendukung
aktor pengganti
aktor protean
aktris pembantu
aktualisasi diri
akuifer artesis
akuisisi arsip
akuisisi saham
akun biaya
akun defisit
akun harta
akun jaminan
akun kekurangan
akun kepemilikan
akun keuangan
akun laba rugi
akun nontamu
akun plus minus
akun tamu
akun virtual
akuntan intern
akuntan publik
akuntan umum
akuntansi forensik
akuntansi pendapatan dan produk nasional
akuntansi pertumbuhan
akupunktur elektronik
akurasi data
akustika meteorologi
al-amru bil-maâ€™rå«f wan-nahyu â€™anil-munkar
al-haqq bilä niáº“äm yaglibuhul-bäá¹­il bin niáº“äm
al-insän makänul-khaá¹­äâ€™ wan-nis-yan
al-ukhuwah al-islamiyyah
al-â€™aá¹£abiyyah al-islämiyyah
al-â€™aá¹£abiyyah al-jinsiyyah
ala ayuning dewasa
ala kadarnya
alah bisa karena (oleh) biasa
alah bisa karena biasa
alah bisa oleh (karena) biasa
alah di rumpun betung
alah limau oleh benalu
alaihi salam
alaika salam
alaikum salam
alam akhirat
alam arwah
alam astral
alam baka
alam barzakh
alam besar
alam dunia
alam fana
alam gaib
alam kabir
alam kecil
alam kekal
alam kelanggengan
alam kubur
alam malakut
alam maya
alam misal
alam nabati
alam pikiran
alam rahim
alam raya
alam rendah
alam sagir
alam samar
alam semesta
alam semesta datar
alam semesta terbuka
alam semesta tertutup
alamat jaringan
alamat riil
alamat virtual
alang berjawat
alang bujur
alang hari
alang kepalang
alang-alang berdawat biarlah hitam
alantoin biotin
alas baju
alas bedak
alas bedak cair
alas bedak krim
alas bedak padat
alas bunga
alas cawan
alas dada
alas dalam
alas erosi
alas gurun
alas kaki
alas kata
alas kepala
alas kubur
alas lantai
alas leher
alas main
alas meja
alas perut
alas peti
alas rumah
alas selada
alas seprai
alas talkin
alas tempat tidur
alas tidur
alas tilam
alas wayah
alat angkut
alat baca cetak
alat baca mikro
alat bantu dengar
alat bantu pandang dengar
alat bantu pengajaran
alat bantu pernapasan
alat berat
alat bibliografis
alat bicara
alat bidik
alat bukti
alat cetak jauh
alat cukur listrik
alat diplomasi kultural
alat hukum
alat kecantikan
alat kejut listrik
alat kekuasaan
alat kelamin
alat kelengkapan
alat keluarga berencana
alat kesehatan
alat komunikasi
alat konsentrasi
